releaser,releaserUrl,platform
幻乐之城,https://www.toutiao.com/c/user/101423954924/#mid=1606384347134990,toutiao
湖南卫视我是未来,https://www.toutiao.com/c/user/61874471319/#mid=1572706741498894,toutiao
湖南卫视我家那小子,https://www.toutiao.com/c/user/101116740909/#mid=1604940640157700,toutiao
哥哥别闹啦,https://www.toutiao.com/c/user/102423880644/#mid=1608023986885639,toutiao
我是未来,http://v.qq.com/vplus/676b77422d42f175fe847780cf9eac06/videos,腾讯视频
湖南卫视我是未来,https://id.tudou.com/i/UNDcxMjAwMzQ2MA==/videos?,new_tudou
新舞林大会,https://www.toutiao.com/c/user/100722869191/#mid=1604953152304141,toutiao
新舞林大会,https://id.tudou.com/i/UNTkyMzA4MTczNg==/videos?,new_tudou
东方卫视相声有新人,https://id.tudou.com/i/UNjA2MTMyODgzNg==/videos?,new_tudou
青春同学会,https://id.tudou.com/i/UNTkwMjE2NjgxMg==/videos?,new_tudou
经视看地产,https://www.toutiao.com/c/user/96950275990/#mid=1597874897914888,toutiao
你好生活家,https://www.toutiao.com/c/user/72740528617/#mid=1581772412084238,toutiao
熟悉的味道第三季,https://www.toutiao.com/c/user/97238353297/#mid=1598054677850115,toutiao
范大姐帮忙,http://v.qq.com/vplus/20119644f3298c406f356522325b0902/videos,腾讯视频
经视养生会,http://v.qq.com/vplus/jsysh/videos,腾讯视频
经视看地产,http://v.qq.com/vplus/jskdc/videos,腾讯视频
《这！就是灌篮》,https://id.tudou.com/i/UMzY0NjYxMTk4NA==/videos?,new_tudou
浙江经视看地产,https://id.tudou.com/i/UMTQzMDk1MTIwNA==/videos?,new_tudou
高能少年团节目组官方,https://id.tudou.com/i/UNTg2MjQzMzI0OA==/videos?,new_tudou
王牌对王牌官方,https://id.tudou.com/i/UMzI5NDYwMjU3Mg==/videos?,new_tudou
湖北垄上,https://id.tudou.com/i/UNjA5ODI5NTY4MA==/videos?,new_tudou
2013湖北卫视,https://id.tudou.com/i/UNjIxNDQ2Mjg4/videos?,new_tudou
湖北卫视春晚,https://id.tudou.com/i/UMjg4ODExNjQwOA==/videos?spm=a2hzp.8244740.0.0,new_tudou
湖北卫视我为喜剧狂,https://id.tudou.com/i/UNDk5NDM2MzM4OA==/videos?,new_tudou
